keyword,volume,cpc,comp,kd,intent,src,m_2025-08,m_2025-09,m_2025-10,m_2025-11,m_2025-12,m_2026-01,m_2026-02,m_2026-03,m_2026-04,m_2026-05,m_2026-06,m_2026-07,peak_month,peak_vol
slingshot,165000,1.01,LOW,31,transactional,ideas,201000,165000,135000,110000,110000,135000,135000,165000,165000,165000,165000,165000,2025-08,201000
polaris slingshot,74000,1.17,LOW,20,transactional,sugg_polaris_slingshot,90500,74000,74000,40500,40500,40500,40500,74000,74000,90500,110000,90500,2026-06,110000
polaris slingshot s,74000,1.17,LOW,,transactional,sugg_polaris_slingshot,90500,74000,74000,40500,40500,40500,40500,74000,74000,90500,110000,90500,2026-06,110000
bluebonnet bluebonnet,40500,1.32,LOW,,informational,sugg_bluebonnet,40500,40500,33100,33100,27100,33100,40500,90500,74000,49500,33100,27100,2026-03,90500
ennis tx usa,33100,0.61,LOW,46,navigational,sugg_ennis_tx,40500,33100,40500,33100,27100,27100,27100,40500,40500,40500,40500,40500,2025-08,40500
slingshot polaris sale,27100,0.88,LOW,,transactional,sugg_polaris_slingshot,22200,18100,22200,18100,22200,14800,12100,22200,27100,40500,74000,27100,2026-06,74000
slingshot ride,22200,1.61,LOW,,transactional,ideas,33100,27100,22200,14800,12100,14800,12100,22200,22200,27100,22200,27100,2025-08,33100
ennis tx,22200,1.37,LOW,17,navigational,sugg_ennis_tx,18100,18100,22200,18100,18100,18100,22200,33100,33100,22200,22200,22200,2026-03,33100
slingshot rental,14800,1.47,MEDIUM,28,transactional,sugg_slingshot_rental,22200,12100,9900,5400,4400,6600,6600,18100,18100,22200,33100,22200,2026-06,33100
motorplex ennis tx,14800,1.74,LOW,7,navigational,sugg_ennis_tx,9900,14800,40500,12100,4400,5400,9900,49500,12100,9900,8100,6600,2026-03,49500
texas motorplex ennis tx,14800,1.74,LOW,14,navigational,sugg_ennis_tx,9900,14800,40500,12100,4400,5400,9900,49500,12100,9900,8100,6600,2026-03,49500
texas bluebonnet,12100,0.15,MEDIUM,8,informational,sugg_bluebonnet,8100,8100,6600,5400,5400,9900,9900,27100,22200,14800,9900,8100,2026-03,27100
bluebonnet trail,8100,18.13,LOW,6,informational,sugg_bluebonnet,8100,8100,9900,6600,8100,8100,8100,12100,12100,8100,8100,8100,2026-03,12100
bluebonnet services,8100,18.13,LOW,1,navigational,sugg_bluebonnet,8100,8100,9900,6600,8100,8100,8100,12100,12100,8100,8100,8100,2026-03,12100
bluebonnet trails,8100,18.13,LOW,6,informational,sugg_bluebonnet,8100,8100,9900,6600,8100,8100,8100,12100,12100,8100,8100,8100,2026-03,12100
bluebonnet service,8100,18.13,LOW,,navigational,sugg_bluebonnet,8100,8100,9900,6600,8100,8100,8100,12100,12100,8100,8100,8100,2026-03,12100
slingshot rental near me,6600,1.53,MEDIUM,25,transactional,sugg_slingshot_rental,9900,6600,4400,2400,2400,1900,3600,6600,8100,8100,9900,8100,2025-08,9900
polaris slingshot pricing,6600,1.55,LOW,14,commercial,sugg_polaris_slingshot,8100,6600,6600,3600,3600,2900,2900,4400,6600,9900,12100,12100,2026-06,12100
bluebonnet flower,6600,0.16,MEDIUM,8,informational,sugg_bluebonnet,4400,5400,6600,5400,5400,6600,6600,12100,12100,8100,5400,4400,2026-03,12100
bluebonnet flowers,6600,0.16,MEDIUM,,informational,sugg_bluebonnet,4400,5400,6600,5400,5400,6600,6600,12100,12100,8100,5400,4400,2026-03,12100
3 wheeler polaris slingshot,5400,0.18,LOW,,transactional,sugg_polaris_slingshot,5400,9900,5400,4400,4400,2900,2900,9900,6600,5400,8100,3600,2025-09,9900
polaris 3 wheel slingshot,5400,0.18,LOW,9,transactional,sugg_polaris_slingshot,5400,9900,5400,4400,4400,2900,2900,9900,6600,5400,8100,3600,2025-09,9900
polaris slingshot 3 wheel car,5400,0.18,LOW,10,transactional,sugg_polaris_slingshot,5400,9900,5400,4400,4400,2900,2900,9900,6600,5400,8100,3600,2025-09,9900
three wheeled polaris slingshot,5400,0.18,LOW,5,transactional,sugg_polaris_slingshot,5400,9900,5400,4400,4400,2900,2900,9900,6600,5400,8100,3600,2025-09,9900
3 wheeled polaris slingshot,5400,0.18,LOW,9,transactional,sugg_polaris_slingshot,5400,9900,5400,4400,4400,2900,2900,9900,6600,5400,8100,3600,2025-09,9900
three wheel polaris slingshot,5400,0.18,LOW,5,transactional,sugg_polaris_slingshot,5400,9900,5400,4400,4400,2900,2900,9900,6600,5400,8100,3600,2025-09,9900
bluebonnet brunch house,4400,0.31,LOW,,navigational,sugg_bluebonnet,4400,3600,3600,3600,3600,3600,4400,4400,4400,5400,4400,4400,2026-05,5400
