keyword,volume,cpc,comp,kd,intent,src,m_2025-08,m_2025-09,m_2025-10,m_2025-11,m_2025-12,m_2026-01,m_2026-02,m_2026-03,m_2026-04,m_2026-05,m_2026-06,m_2026-07
rent a center,1220000,1.16,LOW,17,commercial,ideas,1220000,1220000,1220000,1220000,1500000,1220000,1220000,1220000,1220000,1220000,1500000,1500000
rental cars,823000,3.46,HIGH,100,commercial,ideas,823000,673000,673000,673000,673000,673000,673000,1000000,823000,823000,823000,823000
houses for rent,450000,1.61,MEDIUM,29,transactional,ideas,550000,450000,368000,368000,368000,550000,450000,550000,550000,450000,450000,450000
enterprise rental,450000,1.47,MEDIUM,33,commercial,ideas,450000,368000,368000,368000,368000,368000,368000,550000,450000,550000,550000,550000
sunbelt rentals,450000,4.02,LOW,22,commercial,ideas,450000,450000,450000,368000,368000,368000,368000,450000,450000,450000,450000,450000
houses for rent near me,450000,1.43,MEDIUM,9,transactional,ideas,550000,450000,450000,368000,368000,450000,450000,550000,450000,450000,450000,450000
united rentals,368000,2.53,LOW,47,navigational,ideas,368000,368000,368000,301000,301000,368000,301000,368000,368000,368000,368000,368000
vacation rentals,368000,2.71,LOW,58,transactional,ideas,246000,201000,201000,135000,135000,246000,201000,368000,450000,301000,368000,1500000
rent the runway,301000,0.77,HIGH,20,transactional,ideas,368000,368000,301000,301000,246000,301000,301000,368000,450000,368000,301000,301000
rent,301000,1.47,LOW,83,informational,ideas,368000,301000,246000,246000,301000,301000,301000,450000,368000,368000,368000,450000
rv rental,246000,2.64,HIGH,53,transactional,ideas,301000,246000,201000,165000,165000,246000,201000,301000,301000,368000,368000,368000
rental family,246000,0.33,LOW,39,informational,ideas,49500,33100,40500,823000,368000,368000,368000,246000,110000,110000,60500,49500
zillow and rent,246000,0.56,LOW,46,navigational,ideas,368000,246000,201000,201000,165000,201000,201000,246000,246000,246000,246000,368000
home depot rentals,201000,0.13,MEDIUM,9,commercial,ideas,201000,201000,165000,165000,110000,135000,135000,201000,246000,246000,201000,201000
slingshot,165000,1.01,LOW,31,transactional,ideas,201000,165000,135000,110000,110000,135000,135000,165000,165000,165000,165000,165000
zillow homes for rent,165000,0.8,LOW,28,navigational,ideas,165000,165000,201000,201000,201000,301000,135000,135000,110000,165000,135000,165000
homes for rent,165000,1.66,MEDIUM,17,transactional,ideas,201000,165000,135000,135000,135000,201000,201000,246000,201000,201000,165000,165000
rentals near me,165000,1.06,MEDIUM,70,commercial,ideas,201000,165000,165000,135000,135000,165000,165000,201000,165000,201000,165000,165000
budget rental car,110000,2.8,MEDIUM,28,transactional,ideas,110000,110000,110000,90500,110000,110000,110000,135000,135000,135000,135000,135000
rv rentals near me,110000,2.42,HIGH,53,transactional,ideas,135000,90500,90500,60500,49500,74000,74000,110000,110000,135000,165000,135000
carpet cleaner rental,110000,1.45,HIGH,5,commercial,ideas,135000,110000,110000,110000,90500,90500,74000,110000,110000,110000,110000,110000
zillow houses for rent near me,110000,0.62,LOW,22,navigational,ideas,201000,301000,165000,165000,201000,165000,110000,6600,4400,22200,5400,5400
bike rental,110000,0.79,LOW,35,transactional,ideas,165000,110000,90500,60500,60500,90500,90500,165000,135000,135000,165000,165000
porta potty rental,110000,10.92,MEDIUM,32,transactional,ideas,165000,135000,165000,135000,110000,110000,90500,110000,110000,110000,110000,110000
bounce house rental,90500,2.65,HIGH,37,transactional,ideas,135000,110000,90500,60500,40500,74000,74000,110000,110000,135000,110000,110000
bike rental service,90500,0.52,LOW,19,commercial,ideas,12100,6600,2400,1600,14800,5400,2900,1000000,2400,2400,4400,5400
bike rent service,90500,0.52,LOW,15,commercial,ideas,12100,6600,2400,1600,14800,5400,2900,1000000,2400,2400,4400,5400
rent to own furniture,90500,3.64,HIGH,12,commercial,ideas,74000,60500,450000,165000,135000,18100,14800,18100,12100,12100,49500,12100
bike rental services,90500,0.52,LOW,14,commercial,ideas,12100,6600,2400,1600,14800,5400,2900,1000000,2400,2400,4400,5400
bicycle rental service,90500,0.52,LOW,15,commercial,ideas,12100,6600,2400,1600,14800,5400,2900,1000000,2400,2400,4400,5400
bicycle rental services,90500,0.52,LOW,37,commercial,ideas,12100,6600,2400,1600,14800,5400,2900,1000000,2400,2400,4400,5400
equipment rental,74000,2.42,LOW,44,commercial,ideas,90500,90500,90500,60500,49500,60500,60500,74000,74000,74000,74000,74000
outer banks vacation rentals,74000,2.31,LOW,66,commercial,ideas,135000,60500,33100,14800,49500,60500,135000,90500,74000,90500,74000,74000
trailer rental,74000,2.8,MEDIUM,18,transactional,ideas,74000,74000,74000,49500,40500,201000,49500,60500,74000,74000,74000,60500
zillow rental manager,74000,4.27,LOW,36,navigational,ideas,74000,74000,74000,60500,60500,74000,74000,90500,90500,90500,74000,90500
stump grinder rental,74000,1.96,MEDIUM,,commercial,ideas,74000,74000,60500,40500,27100,33100,40500,110000,110000,110000,90500,74000
outer banks vacation rental homes,74000,2.31,LOW,59,commercial,ideas,135000,60500,33100,14800,49500,60500,135000,90500,74000,90500,74000,74000
storage rentals of america,74000,6.26,LOW,10,commercial,ideas,90500,74000,74000,60500,60500,74000,74000,90500,74000,90500,90500,90500
hertz rental,74000,2.39,LOW,5,transactional,ideas,74000,74000,74000,74000,74000,74000,74000,90500,74000,90500,90500,90500
vacation rentals outer banks nc,74000,2.31,LOW,62,commercial,ideas,135000,60500,33100,14800,49500,60500,135000,90500,74000,90500,74000,74000
polaris slingshot,74000,1.17,LOW,20,transactional,sugg_polaris_slingshot,90500,74000,74000,40500,40500,40500,40500,74000,74000,90500,110000,90500
polaris slingshot s,74000,1.17,LOW,,transactional,sugg_polaris_slingshot,90500,74000,74000,40500,40500,40500,40500,74000,74000,90500,110000,90500
rental assistance,60500,4.33,MEDIUM,53,informational,ideas,74000,74000,74000,60500,60500,60500,40500,40500,49500,60500,74000,74000
dvc rental,60500,0.78,LOW,57,commercial,ideas,74000,60500,49500,49500,49500,74000,49500,60500,60500,60500,60500,90500
for rent,60500,0.99,MEDIUM,51,transactional,ideas,60500,60500,60500,49500,49500,60500,60500,90500,74000,74000,74000,74000
rooms for rent,49500,1.72,MEDIUM,18,transactional,ideas,60500,60500,49500,49500,49500,49500,49500,60500,49500,49500,49500,60500
american homes for rent,49500,0.89,LOW,19,transactional,ideas,49500,40500,40500,40500,40500,49500,49500,49500,49500,40500,40500,40500
party rentals,49500,2.63,MEDIUM,45,commercial,ideas,60500,74000,60500,49500,49500,60500,33100,49500,49500,60500,49500,40500
rental partnership program,49500,4.81,LOW,2,commercial,ideas,49500,49500,60500,49500,49500,49500,49500,49500,74000,49500,74000,49500
van rental,49500,2.79,HIGH,6,transactional,ideas,60500,40500,40500,40500,40500,40500,40500,60500,60500,60500,74000,74000
table and chair rentals,49500,3.03,MEDIUM,12,commercial,ideas,49500,49500,49500,60500,33100,33100,33100,49500,60500,60500,49500,40500
budget rental,40500,2.22,MEDIUM,27,transactional,ideas,49500,40500,40500,40500,40500,40500,40500,49500,40500,49500,49500,49500
car rental return,40500,0.93,LOW,18,transactional,ideas,40500,40500,40500,33100,27100,27100,33100,33100,40500,49500,49500,49500
